c3	vehicle	payloadKg
15	Falcon Heavy Expendable	11190
15	Falcon Heavy Recovery	4465
15	Vulcan VC2	4210
15	Vulcan VC4	6490
15	Vulcan VC6	8340
15	New Glenn	3605
25	Falcon Heavy Expendable	9130
25	Falcon Heavy Recovery	3270
25	Vulcan VC2	3230
25	Vulcan VC4	5320
25	Vulcan VC6	6950
25	New Glenn	1205
35	Falcon Heavy Expendable	7400
35	Falcon Heavy Recovery	2255
35	Vulcan VC2	2370
35	Vulcan VC4	4270
35	Vulcan VC6	5710
50	Falcon Heavy Expendable	5280
50	Falcon Heavy Recovery	1005
50	Vulcan VC2	1260
50	Vulcan VC4	2940
50	Vulcan VC6	4120
